Search terms report
"September 20, 2025 - October 3, 2025"
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
what is a dscr loan,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,11,1,9.09%,USD,3.34,3.34,Search,0.00%,0.00,0.00
north carolina hard money lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,19.64,19.64,Search,0.00%,0.00,0.00
property lending group,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nations reliable lending mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for real estate investing,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
conventus lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
beeline dscr,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan rates california,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
real estate investing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
owner builder construction loans arizona,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridgestone lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,4.24,4.24,Search,0.00%,0.00,0.00
brokian mx,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
subprime home loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home with loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
revolution realty capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home mortgage financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage broker miami,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
center street lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
harmony lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
advanced loan solutions,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california interest only loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mccapital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quickbridge funding reviews,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
direct funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
land loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business loan fast approval,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial second mortgage lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
vantex capital group,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for self employed with poor credit,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,2,200.00%,USD,2.49,4.98,Search,0.00%,0.00,0.00
hard money lending florida,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan officer,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
banks for home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
acra lending dscr,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial loans bank,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.55,0.55,Search,0.00%,0.00,0.00
quick capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage financing near me,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan stand for,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
metrofinanciera,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan hawaii,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
prestamos dscr,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to apply for a house loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr in real estate,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how does a dscr loan work,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,33.81,33.81,Search,0.00%,0.00,0.00
investment loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
rediger investment mortgage fund,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
working capital loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,9,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
rental loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,13.30,13.30,Search,0.00%,0.00,0.00
bridge loan california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lender in california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for real estate investors,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how can i buy a commercial property with no money,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
new american funding llc,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
west capital funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
brian cooke world home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
fundera,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan requirements,Phrase match,None,Capital Bridge Solutions,DSCR Loans,2,1,50.00%,USD,6.52,6.52,Search,0.00%,0.00,0.00
loantown,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lender,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,2,1,50.00%,USD,0.72,0.72,Search,0.00%,0.00,0.00
naca program,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction loan for commercial property,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get a loan on a home,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital mortgage company,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best home finance,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loan nj,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.44,0.44,Search,0.00%,0.00,0.00
working capital loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,11,1,9.09%,USD,0.34,0.34,Search,0.00%,0.00,0.00
mortgage loan texas,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.31,0.31,Search,0.00%,0.00,0.00
cdfi lenders los angeles,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
west capital lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,9,1,11.11%,USD,2.38,2.38,Search,0.00%,0.00,0.00
loans for investors in real estate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
securing a loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loan lenders near me,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,1,50.00%,USD,1.16,1.16,Search,0.00%,0.00,0.00
park place finance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quality loan service corporation,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital solutions,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pacific lending llc,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage companies california,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
calculating dscr,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loans,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
house flipping loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california loan officers,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lending investors,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,20.10,20.10,Search,0.00%,0.00,0.00
bridge lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how do you get preapproved for a house loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best house loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
rtc loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
house mortgage lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private mortgage lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan florida,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
broker financing,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capfund,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how can i apply for a mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lender ca,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dcrs loan,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,9.38,9.38,Search,0.00%,0.00,0.00
first commercial loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
kind lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lantzman lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
life insurance commercial real estate lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
physician home equity loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
conventus llc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,7.29,7.29,Search,0.00%,0.00,0.00
dscr calculator online,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lenders ca,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loanstream,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private loans for real estate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
griffin funding reviews,Broad match,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
west capital lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
supreme lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
real estate private money lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get preapproved for a mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage banks,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cap loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loans with fair credit,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
louie loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
start up loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
不動産 投資,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
resicentral llc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
newwavelending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dcrs loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,1,50.00%,USD,7.41,7.41,Search,0.00%,0.00,0.00
hard money lenders near me,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,29.83,29.83,Search,0.00%,0.00,0.00
mortgages banks,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
investment one llc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to be approved for a home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
easy street capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is dscr ratio,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
fix and flip lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loan no closing costs,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
landon lewis home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
carrington wholesale lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loans bank,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction loan for remodel,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
anchor loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
springboard lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr calculator,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,2,1,50.00%,USD,8.48,8.48,Search,0.00%,0.00,0.00
dscr loan pros and cons,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loan shopping,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usa capital loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
arizona hard money lenders,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
land equity loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
metrogroup realty finance,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
clear edge lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lender california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
realty capital finance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
portfolio lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
property investment mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how do i get a loan for a house,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loans five things you must know,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
local home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan requirements,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,3,1,33.33%,USD,18.34,18.34,Search,0.00%,0.00,0.00
mission loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridgefund capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
standard mortgage company,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
franklin loan center,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loans az,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lenders nj,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lendsure fix and flip,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pooling loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
rti bridge loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,3,1,33.33%,USD,8.06,8.06,Search,0.00%,0.00,0.00
crowdfunding real estate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cmbs loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
asset based lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
premier lending group,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial real estate loan terms,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr credit,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan from a private lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,1.01,1.01,Search,0.00%,0.00,0.00
alternative home loan lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
northmarq,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage consultant,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
swing loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
residential loan officer,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loans in usa,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lenders near me,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
foundation specialty finance,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage brokers,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home equity loan for investment,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
visio dscr loan,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
marketplace lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan requirements,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to apply a home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan for self employed,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
meadow lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard cash loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
stated income loans for investment property,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to calculate a dscr loan,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bank statement loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best home loans lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loanstream wholesale,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
acore capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loan new jersey,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial loan officer,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan for a commercial property,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lendvent realty capital llc,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
secured loan lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
selene finance lp,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
